,measured,hour,dow,month,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,t_out,humidity,sim_A,sim_B,sim_C,sim_D,sim_E,predicted_physics,residual_true
2017-01-03 23:00:00,2816.84,23.0,1.0,1.0,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,0.0,1.0,20.5,85.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2860.5956978642644,-43.75569786426422
2017-01-04 00:00:00,2788.96,0.0,2.0,1.0,0.0,1.0,0.9749279121818236,-0.22252093395631434,0.0,1.0,20.5,84.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2861.8200449178985,-72.86004491789845
2017-01-04 01:00:00,2625.95,1.0,2.0,1.0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.0,1.0,20.7,85.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2818.8673081104353,-192.91730811043544
2017-01-04 02:00:00,2621.95,2.0,2.0,1.0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0,1.0,21.2,83.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2793.235241546718,-171.28524154671823
2017-01-04 03:00:00,2603.83,3.0,2.0,1.0,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0.0,1.0,21.0,84.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2772.514283300123,-168.6842833001233
2017-01-04 04:00:00,2491.66,4.0,2.0,1.0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.0,1.0,20.7,85.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2762.8496380161328,-271.1896380161329
2017-01-04 05:00:00,2500.09,5.0,2.0,1.0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0.0,1.0,20.9,83.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2768.0472377344136,-267.9572377344134
2017-01-04 06:00:00,2531.99,6.0,2.0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.0,1.0,20.9,82.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2783.42161201927,-251.43161201927023
2017-01-04 07:00:00,2496.35,7.0,2.0,1.0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.0,1.0,20.9,83.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2807.640740039754,-311.2907400397539
2017-01-04 09:00:00,3030.75,9.0,2.0,1.0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,0.0,1.0,23.6,78.0,376.06077968995095,678.443196855953,183.90980856472206,79.25105307367647,93.73573684505061,2932.1439381928667,98.6060618071333
2017-01-04 10:00:00,3257.19,10.0,2.0,1.0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0,1.0,25.5,72.0,2319.960332598154,2915.7406488713827,1683.3730310988183,378.955466496489,425.6863941160157,3103.5762723489506,153.61372765104943
2017-01-04 11:00:00,3551.41,11.0,2.0,1.0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,0.0,1.0,25.4,71.0,2239.3743019926796,2865.2399940085193,1700.1073673829444,361.2087359683992,419.8656415548441,3261.2059406539192,290.2040593460806
2017-01-04 12:00:00,3570.51,12.0,2.0,1.0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.0,1.0,25.5,66.0,2161.528042418592,2805.9794496721643,1529.5946425558923,345.5544233584637,411.12493208129473,3400.0338363073733,170.47616369262687
2017-01-04 13:00:00,3487.18,13.0,2.0,1.0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.0,1.0,26.1,64.0,1561.676771967552,1895.556602441076,1280.5746574953564,267.49534031533875,309.071122403682,3396.7916380588135,90.3883619411863
2017-01-04 14:00:00,3749.55,14.0,2.0,1.0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.0,1.0,26.2,63.0,1543.846776244105,2765.272560471616,889.4058097824877,336.64074672170756,406.5471683836808,3525.708980675659,223.84101932434123
2017-01-04 15:00:00,3720.39,15.0,2.0,1.0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0.0,1.0,26.7,61.0,1525.8067164109962,2766.218377279406,858.6073562724075,338.6175686489582,407.09800415503236,3602.0834596580066,118.30654034199324
2017-01-04 16:00:00,3723.43,16.0,2.0,1.0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.0,1.0,26.2,60.0,1506.0922101634403,2750.464550705759,826.9464759386123,337.1506587656589,404.63944386031557,3615.892399398064,107.53760060193599
2017-01-04 17:00:00,3697.38,17.0,2.0,1.0,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.0,1.0,24.8,62.0,1477.2160072853385,2715.182813621088,778.6613302002241,331.59677138759605,398.2796493538427,3559.915740461003,137.46425953899688
2017-01-04 18:00:00,3405.39,18.0,2.0,1.0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.0,1.0,23.8,66.0,808.465650190095,1986.485410277153,151.38955402348932,197.7075677287229,258.4525454736589,3263.1293493987964,142.26065060120345
2017-01-04 19:00:00,3217.4,19.0,2.0,1.0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,0.0,1.0,23.1,68.0,808.4656501900948,1402.9329878971744,151.38955402348935,113.00926682796572,141.7554407258576,3150.8857486987463,66.51425130125381
2017-01-04 21:00:00,3121.92,21.0,2.0,1.0,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,0.0,1.0,22.7,71.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,3042.05252287137,79.86747712863007
2017-01-04 22:00:00,3015.56,22.0,2.0,1.0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0.0,1.0,22.5,72.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2987.0516097007194,28.508390299280563
2017-01-04 23:00:00,2820.93,23.0,2.0,1.0,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0.0,1.0,22.4,73.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2932.0508524965703,-111.12085249657048
2017-01-05 00:00:00,2770.71,0.0,3.0,1.0,0.0,1.0,0.43388373911755823,-0.900968867902419,0.0,1.0,22.2,73.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2840.5248913349515,-69.81489133495143
2017-01-05 01:00:00,2687.09,1.0,3.0,1.0,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.0,1.0,22.2,73.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2800.33204475844,-113.24204475843999
2017-01-05 02:00:00,2582.51,2.0,3.0,1.0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.0,1.0,20.6,78.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2761.213229200845,-178.70322920084482
2017-01-05 03:00:00,2544.04,3.0,3.0,1.0,0.7071067811865476,0.7071067811865476,0.43388373911755823,-0.900968867902419,0.0,1.0,20.3,78.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2741.430323620997,-197.39032362099715
2017-01-05 04:00:00,2568.46,4.0,3.0,1.0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.0,1.0,19.8,80.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2731.0769825283,-162.6169825283
2017-01-05 05:00:00,2564.34,5.0,3.0,1.0,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.0,1.0,19.3,82.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2732.552084916082,-168.21208491608195
2017-01-05 07:00:00,2518.8,7.0,3.0,1.0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.0,1.0,19.5,80.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2773.9065740108035,-255.10657401080334
