yr,mo,da,hr,mi,etr,etrn,ghi,dni,dhi,tcld,db,dp,rh,ps,wdir,wspd,hvis,ch,lpd,lpq
2024,1,3,22,60,0.0,0.0,0.0,0.0,0.0,5,14.2,9.2,71,1022.3,92,16.7,-9900,-9900,0.0,0.0
2024,1,3,23,60,0.0,0.0,0.0,0.0,0.0,5,14.3,9.3,63,1022.8,93,14.8,-9900,-9900,0.0,0.0
2024,1,3,24,60,0.0,0.0,0.0,0.0,0.0,5,14.7,9.7,63,1022.9,94,14.8,-9900,-9900,0.0,0.0
2024,1,4,1,60,0.0,0.0,0.0,0.0,0.0,5,15.1,10.1,63,1023.1,95,13.0,-9900,-9900,0.0,0.0
2024,1,4,2,60,0.0,0.0,0.0,0.0,0.0,5,16.1,11.1,60,1022.8,91,16.7,-9900,-9900,0.0,0.0
2024,1,4,3,60,0.0,0.0,0.0,0.0,0.0,5,17.0,12.0,57,1022.5,89,20.4,-9900,-9900,0.0,0.0
2024,1,4,4,60,0.0,0.0,0.0,0.0,0.0,5,18.0,13.0,54,1022.3,87,24.1,-9900,-9900,0.0,0.0
2024,1,4,5,60,0.0,0.0,0.0,0.0,0.0,5,19.2,14.2,52,1021.3,90,22.2,-9900,-9900,0.0,0.0
2024,1,4,6,60,0.0,0.0,0.0,0.0,0.0,5,19.4,14.4,52,1020.5,90,18.5,-9900,-9900,0.0,0.0
2024,1,4,7,60,0.0,0.0,0.0,0.0,0.0,5,19.6,14.6,52,1019.6,90,16.7,-9900,-9900,0.0,0.0
2024,1,4,8,60,0.0,0.0,0.0,0.0,0.0,5,19.2,14.2,54,1019.7,93,18.5,-9900,-9900,0.0,0.0
2024,1,4,9,60,0.0,0.0,0.0,0.0,0.0,5,18.9,13.9,56,1019.8,96,18.5,-9900,-9900,0.0,0.0
2024,1,4,10,60,0.0,0.0,0.0,0.0,0.0,5,18.5,13.5,59,1019.9,99,18.5,-9900,-9900,0.0,0.0
2024,1,4,11,60,0.0,0.0,0.0,0.0,0.0,5,17.5,12.5,65,1020.2,103,16.7,-9900,-9900,0.0,0.0
2024,1,4,12,60,0.0,0.0,0.0,0.0,0.0,5,17.4,12.4,67,1020.5,103,14.8,-9900,-9900,0.0,0.0
2024,1,4,13,60,0.0,0.0,0.0,0.0,0.0,5,17.4,12.4,68,1020.8,102,13.0,-9900,-9900,0.0,0.0
2024,1,4,14,60,0.0,0.0,0.0,0.0,0.0,5,17.2,12.2,70,1020.7,101,13.0,-9900,-9900,0.0,0.0
2024,1,4,15,60,0.0,0.0,0.0,0.0,0.0,5,17.0,12.0,72,1020.5,100,13.0,-9900,-9900,0.0,0.0
2024,1,4,16,60,0.0,0.0,0.0,0.0,0.0,5,16.8,11.8,74,1020.4,100,13.0,-9900,-9900,0.0,0.0
2024,1,4,17,60,0.0,0.0,0.0,0.0,0.0,5,17.3,12.3,72,1020.2,100,11.1,-9900,-9900,0.0,0.0
